U+783C,砼,1,0,0,,,10,111,石 (いしへん),石仝,,,
U+783D,砽,1,0,0,,,10,111,石 (いしへん),石用,,,
U+783E,砾,1,0,0,,,10,111,石 (いしへん),石乐,,,
U+783F,砿,1,1,11,コウ,あらがね,10,111,石 (いしへん),石広 矿厶,,,
U+7840,础,1,0,0,,,10,111,石 (いしへん),石出,,,
U+7841,硁,1,0,0,,,10,111,石 (いしへん),石𢀖 石𱑱,,,
U+7842,硂,1,0,0,セン,,11,111,石 (いしへん),石全,,,
U+7843,硃,1,3,0,シュ,,11,111,石 (いしへん),石朱,,,
U+7844,硄,1,0,0,コウ,,11,111,石 (いしへん),石光,,,
U+7845,硅,1,2,12,ケイ カク キャク,やぶる,11,111,石 (いしへん),石圭,硅砂 硅素 硅石,硅砂 硅素 硅石,硅砂 硅素 硅石
U+7846,硆,1,0,0,ゴウ,,11,111,石 (いしへん),石合,,,
U+7847,硇,1,4,0,ドウ ニョウ,,11,111,石 (いしへん),石囟,,,
U+7848,硈,1,0,0,カツ カチ,,11,111,石 (いしへん),石吉,,,
U+7849,硉,1,0,0,ロツ ロチ,,11,111,石 (いしへん),石聿,,,
U+784A,硊,1,0,0,ギ キ,,11,111,石 (いしへん),石危,,,
U+784B,硋,1,0,0,ガイ,,11,111,石 (いしへん),石亥,,,
U+784C,硌,1,0,0,ラク レキ リャク,,11,111,石 (いしへん),石各,,,
U+784D,硍,1,0,0,カン ゲン コン コウ キョウ ケン,,11,111,石 (いしへん),石艮,,,
U+784E,硎,1,3,0,ケイ,,11,111,石 (いしへん),石刑 研刂,,,
U+784F,硏,1,3,0,ケン ゲン ギョウ ケイ,とぐ,11,111,石 (いしへん),石幵,,,
U+7850,硐,1,0,0,トウ ズ,,11,111,石 (いしへん),石同,,,
U+7851,硑,1,3,0,ヒョウ ホウ,,11,111,石 (いしへん),石并,,,
U+7852,硒,1,0,0,セイ,,11,111,石 (いしへん),石西,,,
U+7853,硓,1,0,0,,,11,111,石 (いしへん),石老,,,
U+7854,硔,1,0,0,,,11,111,石 (いしへん),石共,,,
U+7855,硕,1,0,0,,,11,111,石 (いしへん),石页,,,
U+7856,硖,1,0,0,,,11,111,石 (いしへん),石夹,,,
U+7857,硗,1,0,0,,,11,111,石 (いしへん),石尧,,,
U+7858,硘,1,0,0,,,11,111,石 (いしへん),石回,,,
U+7859,硙,1,0,0,,,11,111,石 (いしへん),石岂,,,
U+785A,硚,1,0,0,,,11,111,石 (いしへん),石乔,,,
U+785B,硛,1,0,0,,,11,111,石 (いしへん),石亦,,,
U+785C,硜,1,0,0,コウ ケイ キョウ,,12,111,石 (いしへん),石巠,,,
U+785D,硝,1,1,9,ショウ,,12,111,石 (いしへん),石肖,硝子 硝酸 硝煙 硝化 硝石 脱硝 硝安 煙硝,硝子 硝酸 亜硝酸 硝煙 硝化 硝石 硝子戸 脱硝 板硝子 硝子窓 硝安 煙硝 硝酸薬 硝子瓶 色硝子,硝子 硝酸 硝煙 硝化 硝石 脱硝 硝安 煙硝 硝子戸 板硝子 硝子窓 硝酸薬 色硝子
U+785E,硞,1,0,0,キャク カク コク,,12,111,石 (いしへん),石告 石吿,,,
U+785F,硟,1,0,0,セン,,11,111,石 (いしへん),石延,,,
U+7860,硠,1,0,0,ロウ,,12,111,石 (いしへん),石良,,,
U+7861,硡,1,0,0,コウ ゴウ,,12,111,石 (いしへん),石宏,,,
U+7862,硢,1,0,0,ヨ,,12,111,石 (いしへん),石余,,,
U+7863,硣,1,0,0,キョウ コウ,,12,111,石 (いしへん),石孝,,,
U+7864,硤,1,4,0,コウ ギョウ,,12,111,石 (いしへん),石夾,,,
U+7865,硥,1,0,0,ボウ モウ ホウ,,12,111,石 (いしへん),𰦭𰀪 𥐶彡 石尨,,,
U+7866,硦,1,0,0,ラク ロウ ル,,12,111,石 (いしへん),石弄,,,
U+7867,硧,1,0,0,ヨウ ユ トウ ツ ズ,,12,111,石 (いしへん),石甬,,,
U+7868,硨,1,3,0,シャ,,12,111,石 (いしへん),石車,,,
U+7869,硩,1,0,0,テツ テキ セキ タク テチ チャク シャク,,12,111,石 (いし),折石,,,
U+786A,硪,1,4,0,ガ ギ,,12,111,石 (いしへん),石我,,,
U+786B,硫,1,1,9,リュウ,,12,111,石 (いしへん),石㐬 石𠫓𫶧,硫黄 硫酸 硫化 硫酸塩 脱硫 加硫 硫安 含硫,硫黄 硫酸 硫化 硫酸塩 亜硫酸 脱硫 硫化物 加硫 濃硫酸 硫安 硫酸銅 含硫 硫化鉄 硫酸紙 硫酸鉄 過硫酸 硫化銅,硫黄 硫酸 硫化 硫酸塩 脱硫 加硫 硫安 含硫 硫化物 濃硫酸 硫酸銅 硫化鉄 硫酸紙 硫酸鉄 過硫酸 硫化銅
U+786C,硬,1,1,8,コウ,かた-い,12,111,石 (いしへん),石更,硬化 硬い 硬直 硬度 強硬 硬質 硬式 硬貨 硬派 硬膜 超硬 硬水 硬筆 硬性 硬結 硬球 硬骨 硬玉 硬調 生硬 硬座 硬岩 硬鋼 硬材,硬化 硬直 硬度 強硬 硬質 硬式 硬貨 硬派 肝硬変 硬膜 硬化性 超硬 硬水 硬直化 強硬派 硬化剤 硬筆 硬性 熱硬化性 硬結 硬球 硬骨 強硬論 硬玉 硬調 生硬 水硬性 硬座 硬化油 硬岩 硬鋼 硬材,硬化 硬い 硬直 硬度 強硬 硬質 硬式 硬貨 硬派 硬水 硬筆 硬性 硬結 硬球 硬骨 硬玉 硬調 生硬 硬座 硬岩 硬鋼 硬材 硬化性 硬直化 強硬派 硬化剤 熱硬化性 強硬論 水硬性 硬化油
U+786D,硭,1,0,0,ボウ,,11,111,石 (いしへん),石芒 石艹亡,,,
U+786E,确,1,3,0,カク,たしか きそう,12,111,石 (いしへん),石角,,,
U+786F,硯,1,1,11,ケン ゲン,すずり,12,111,石 (いしへん),石見,硯箱 硯石 筆硯 硯材,硯箱 硯石 筆硯 硯材,硯箱 硯石 筆硯 硯材
U+7870,硰,1,0,0,サ シャ,,12,111,石 (いし),沙石,,,
U+7871,硱,1,0,0,コン キョウ,,12,111,石 (いしへん),石困,,,
