半,⺌二 小二 丿丷二 丿八二
卋,十廿
卌,〢〢一 川丨一
卍,㇅丨一丨
华,化十
协,十办
卐,一丨一𠃑
卑,丿𤰞 甶丩
卒,亠从十 亠𠦏
卓,⺊早
協,十劦
单,丷甲一
卖,十买
南,十𦉰十 𠂇𦉰十
単,𭕄甲一
卙,甚十
博,十尃
卛,䜌十
卜,丨丶 丨乀
卝,一丨⺊ 一丿⺊ 一〢一
卞,丶下 亠卜
卟,𠮝丶 口卜
占,⺊口
卡,⺊下 上卜
卢,⺊尸
卣,⺊囙
卤,⺊龱
卥,⺊囗丿丿丶 ⺊囗夕
卦,圭卜
卧,臣卜
卨,⺊咼 ⺊𠔿冋
卩,卩丨𠃌
卪,卩丶
卫,𠃌丄 𰆊一
卬,丿𠄌卩
卭,工卩
卮,𠂋㔾 𠂋巳
卯,𠂎卩 𱍸刀 𠂈刀
印,丿𠄌一卩 𠀉卩 丿𠄌一卪
危,⺈厄 勹厄 厃㔾
卲,召卩
即,巳一丶卩 巳一一卩
却,去卩
卵,𠂑卪
卶,多卩
卷,龹㔾 𠔉㔾
卸,𦈢卩
卹,血卩
卺,丞㔾
卻,谷卩 仌口卩
卼,兀危
卽,皀卩
卾,咢卩
卿,𠂎即 𠂎皀卩
厀,桼卩
厁,斜𰆊
厂,一丿 一丨
厃,⺈厂
厄,厂㔾 𠂆㔾
厅,厂丁
历,厂力
厇,厂乇
厈,厂干
厉,厂万 𠂋勹 𠂆万
厊,厂牙
压,厂圡
厌,厂犬
厍,厂车
厎,𠨿丶 𠨿一 厂氐
厏,厂乍
厐,厂龙
厑,厂𠮟
厒,厂缶 𠨺凵
厓,圧土 厂圭
厔,厂至
厕,厂则
厖,厂尨
厗,厂辛 㕇十
厘,厂里
厙,厂車
