匕,匕部,ひぶ,匕,ひ さじ さじのひ
化,匕部,ひぶ,匕,ひ さじ さじのひ
北,匕部,ひぶ,匕,ひ さじ さじのひ
匙,匕部,ひぶ,匕,ひ さじ さじのひ
匚,匚部,ほうぶ,匚,はこがまえ
匝,匚部,ほうぶ,匚,はこがまえ
匠,匚部,ほうぶ,匚,はこがまえ
匡,匚部,ほうぶ,匚,はこがまえ
匣,匚部,ほうぶ,匚,はこがまえ
匪,匚部,ほうぶ,匚,はこがまえ
匯,匚部,ほうぶ,匚,はこがまえ
匱,匚部,ほうぶ,匚,はこがまえ
匳,匚部,ほうぶ,匚,はこがまえ
匸,匸部,けいぶ,匸,かくしがまえ
匹,匸部,けいぶ,匸,かくしがまえ
区,匸部,けいぶ,匸,かくしがまえ
医,匸部,けいぶ,匸,かくしがまえ
匿,匸部,けいぶ,匸,かくしがまえ
區,匸部,けいぶ,匸,かくしがまえ
十,十部,じゅうぶ,十,ジュウ
千,十部,じゅうぶ,十,ジュウ
卅,十部,じゅうぶ,十,ジュウ
卆,十部,じゅうぶ,十,ジュウ
升,十部,じゅうぶ,十,ジュウ
午,十部,じゅうぶ,十,ジュウ
卉,十部,じゅうぶ,十,ジュウ
半,十部,じゅうぶ,十,ジュウ
卍,十部,じゅうぶ,十,ジュウ
卑,十部,じゅうぶ,十,ジュウ
卒,十部,じゅうぶ,十,ジュウ
卓,十部,じゅうぶ,十,ジュウ
協,十部,じゅうぶ,十,ジュウ
南,十部,じゅうぶ,十,ジュウ
単,十部,じゅうぶ,十,ジュウ
博,十部,じゅうぶ,十,ジュウ
卜,卜部,ぼくぶ,卜,ぼく ぼくのと うらない と
卞,卜部,ぼくぶ,卜,ぼく ぼくのと うらない と
占,卜部,ぼくぶ,卜,ぼく ぼくのと うらない と
卦,卜部,ぼくぶ,卜,ぼく ぼくのと うらない と
卩,卩部,せつぶ,卩,ふしづくり
卮,卩部,せつぶ,㔾,まげわりふ わりふ
卯,卩部,せつぶ,卩,ふしづくり
印,卩部,せつぶ,卩,ふしづくり
危,卩部,せつぶ,卩,ふしづくり
即,卩部,せつぶ,卩,ふしづくり
却,卩部,せつぶ,卩,ふしづくり
卵,卩部,せつぶ,卩,ふしづくり
卷,卩部,せつぶ,卩,ふしづくり
卸,卩部,せつぶ,卩,ふしづくり
卻,卩部,せつぶ,卩,ふしづくり
卿,卩部,せつぶ,卩,ふしづくり
厂,厂部,かんぶ,厂,がんだれ
厄,厂部,かんぶ,厂,がんだれ
厖,厂部,かんぶ,厂,がんだれ
厘,厂部,かんぶ,厂,がんだれ
厚,厂部,かんぶ,厂,がんだれ
原,厂部,かんぶ,厂,がんだれ
厠,厂部,かんぶ,厂,がんだれ
厥,厂部,かんぶ,厂,がんだれ
厦,厂部,かんぶ,厂,がんだれ
厨,厂部,かんぶ,厂,がんだれ
厩,厂部,かんぶ,厂,がんだれ
厭,厂部,かんぶ,厂,がんだれ
厮,厂部,かんぶ,厂,がんだれ
厰,厂部,かんぶ,厂,がんだれ
厳,厂部,かんぶ,厂,がんだれ
厶,厶部,しぶ,厶,む
去,厶部,しぶ,厶,む
参,厶部,しぶ,厶,む
參,厶部,しぶ,厶,む
又,又部,ゆうぶ,又,また
叉,又部,ゆうぶ,又,また
及,丿部,へつぶ,丿,の はらいぼう
友,又部,ゆうぶ,又,また
双,又部,ゆうぶ,又,また
反,又部,ゆうぶ,又,また
収,又部,ゆうぶ,又,また
叔,又部,ゆうぶ,又,また
取,又部,ゆうぶ,又,また
受,又部,ゆうぶ,又,また
叙,又部,ゆうぶ,又,また
叛,又部,ゆうぶ,又,また
叟,又部,ゆうぶ,又,また
叡,又部,ゆうぶ,又,また
叢,又部,ゆうぶ,又,また
口,口部,こうぶ,口,くち
古,口部,こうぶ,口,くち
句,口部,こうぶ,口,くち
叨,口部,こうぶ,口,くちへん
叩,口部,こうぶ,口,くちへん
只,口部,こうぶ,口,くち
叫,口部,こうぶ,口,くちへん
召,口部,こうぶ,口,くち
叭,口部,こうぶ,口,くちへん
叮,口部,こうぶ,口,くちへん
可,口部,こうぶ,口,くち
台,口部,こうぶ,口,くち
叱,口部,こうぶ,口,くちへん
史,口部,こうぶ,口,くち
右,口部,こうぶ,口,くち
叶,口部,こうぶ,口,くちへん
号,口部,こうぶ,口,くち
司,口部,こうぶ,口,くち
叺,口部,こうぶ,口,くちへん
吁,口部,こうぶ,口,くちへん
吃,口部,こうぶ,口,くちへん
